study_word,test_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
mouse,,0,0,0,8,,,,,28.129879100015387,28.129879100015387,1.0,2.520809800014831,,,,,,,,,,,,,6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
bottle,,0,1,1,7,,,,,30.663182500051335,30.663182500051335,1.0,2.1781358999432996,,,,,,,,,,,,,6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
tiger,,0,2,2,1,,,,,32.89637690002564,32.89637690002564,1.0,1.0358472999650985,,,,,,,,,,,,,6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
phone,,0,3,3,6,,,,,33.98064289998729,33.98064289998729,1.0,2.5749448999995366,,,,,,,,,,,,,6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
umbrella,,0,4,4,5,,,,,36.596409899997525,36.596409899997525,1.0,1.799438700079918,,,,,,,,,,,,,6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
vase,,0,5,5,0,,,,,38.42924920003861,38.42924920003861,1.0,1.7223406999837607,,,,,,,,,,,,,6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
water,,0,6,6,9,,,,,40.19647880003322,40.19647880003322,1.0,2.669011399964802,,,,,,,,,,,,,6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
piano,,0,7,7,4,,,,,42.8956769000506,42.8956769000506,1.0,1.393169599934481,,,,,,,,,,,,,6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
book,,0,8,8,2,,,,,44.297154500032775,44.297154500032775,1.0,1.9013167000375688,,,,,,,,,,,,,6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
cushion,,0,9,9,3,,,,,46.245613100007176,46.245613100007176,1.0,1.8263679000083357,,,,,,,,,,,,,6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
,c_m_r,,,,,0,0,0,6,,,,,48.12896580004599,48.12896580004599,48.12896580004599,0.02430770010687411,ca,[],[],[],[],[],[],[],6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
,o_a_n_e,,,,,0,1,1,9,,,,,58.09734620002564,58.09734620002564,58.09734620002564,0.016610100050456822,,[],[],[],[],[],[],[],6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
,_p_a_d_,,,,,0,2,2,7,,,,,68.11067650001496,68.11067650001496,68.11067650001496,0.01940740004647523,ep,[],[],[],[],[],[],[],6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
,t_g_r,,,,,0,3,3,1,,,,,78.11011190002318,78.11011190002318,78.11011190002318,0.014619300025515258,tiger,[-0.017592592592592594],[-0.30185185185185187],[1],[0],[0],[4.1775542999384925],['text_3'],6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
,_o_s_,,,,,0,4,4,8,,,,,82.29301799996756,82.29301799996756,82.29301799996756,0.005523999920114875,,[],[],[],[],[],[],[],6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
,_ea_o_,,,,,0,5,5,5,,,,,92.3095984000247,92.3095984000247,92.3095984000247,0.01575819996651262,,[],[],[],[],[],[],[],6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
,c_s_h_o_n,,,,,0,6,6,3,,,,,102.30873569997493,102.30873569997493,102.30873569997493,0.01871109998319298,cushion,[-0.017592592592592594],[-0.30185185185185187],[1],[0],[0],[3.781924600014463],['text_3'],6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
,_ia_n_,,,,,0,7,7,4,,,,,106.09121360001154,106.09121360001154,106.09121360001154,0.0036763999378308654,piano,[-0.017592592592592594],[-0.30185185185185187],[1],[0],[0],[2.973486600094475],['text_3'],6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
,_a_e,,,,,0,8,8,0,,,,,109.07428079994861,109.07428079994861,109.07428079994861,0.006097699981182814,vase,[-0.017592592592592594],[-0.30185185185185187],[1],[0],[0],[5.99498939991463],['text_3'],6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
,_oo_,,,,,0,9,9,2,,,,,115.07431799999904,115.07431799999904,115.07431799999904,0.005380299990065396,book,[0.058333333333333334],[-0.29814814814814816],[1],[0],[0],[4.753845200059004],['text_3'],6985111,001,2022-11-24_05h32.26.477,untitled_,2022.2.4,60.18042091657257,
